fecha,tm_mes,tm_max,tm_min,ta_max,ta_min,ti_max,ts_min,p_mes,np_300,nt_30,inso
2018-1,10.2,13.9,6.3,21.1(04),1.4(28),8.3,12.3,261.6,2.0,0.0,2.2
2018-2,6.7,10.4,3.0,21.2(15),-3.5(27),3.0,10.1,271.1,3.0,0.0,1.8
2018-3,11.3,15.5,7.1,20.7(10),1.0(20),8.0,16.9,112.0,0.0,0.0,3.4
2018-4,14.8,19.2,10.4,30.5(18),4.6(01),10.5,16.3,160.1,2.0,1.0,4.2
2018-5,14.9,19.2,10.6,24.1(06),5.7(13),12.9,15.5,78.7,0.0,0.0,4.5
2018-6,19.1,23.4,14.7,29.8(24),10.4(06),19.5,19.4,48.9,0.0,0.0,4.5
2018-7,22.1,26.4,17.9,30.9(23),14.7(17),21.2,20.4,55.1,0.0,1.0,4.9
2018-8,21.9,27.1,16.6,38.8(06),12.2(18),21.6,20.5,41.1,0.0,5.0,6.6
2018-9,21.0,26.6,15.3,36.3(17),8.5(25),19.4,18.8,9.7,0.0,5.0,6.3
2018-10,15.9,20.9,10.8,30.0(13),3.4(30),10.6,22.4,175.3,2.0,1.0,4.5
2018-11,13.4,17.8,8.9,23.6(15),2.9(04),9.1,12.9,80.8,0.0,0.0,3.3
2018-12,11.5,16.0,6.9,20.4(04),1.3(30),11.8,15.2,28.8,0.0,0.0,2.4
2018-13,15.2,19.7,10.7,38.8(06/ago),-3.5(27/feb),3.0,22.4,1323.2,9.0,13.0,4.1
2019-1,7.7,11.1,4.3,18.3(31),-2.3(05),7.2,8.9,230.4,2.0,0.0,1.7
2019-2,11.9,18.1,5.6,26.9(27),1.4(04),10.1,11.2,37.0,0.0,0.0,6.2
2019-3,11.9,17.7,6.1,26.3(16),2.3(27),12.5,10.5,51.9,0.0,0.0,6.1
2019-4,13.1,18.3,7.9,26.0(15),2.6(13),9.8,16.1,72.6,0.0,0.0,4.2
2019-5,14.3,19.4,9.2,30.1(31),3.5(05),12.5,13.1,69.5,0.0,1.0,6.1
2019-6,18.8,24.3,13.2,40.7(27),8.8(08),16.6,17.9,26.5,0.0,4.0,6.0
2019-7,21.9,26.9,16.9,38.6(23),12.1(31),20.3,21.3,64.1,1.0,5.0,6.5
2019-8,21.7,26.8,16.5,35.5(08),12.2(16),19.9,21.1,26.5,0.0,5.0,5.8
2019-9,19.6,24.9,14.3,31.7(20),9.9(09),19.4,19.6,85.2,0.0,2.0,5.8
2019-10,17.5,22.2,12.8,30.4(11),6.7(22),13.6,17.4,114.5,0.0,1.0,4.0
2019-11,11.9,15.5,8.3,24.1(01),1.5(16),10.1,15.1,371.0,3.0,0.0,1.3
2019-12,11.5,16.4,6.7,22.8(21),0.3(31),10.1,14.5,117.4,0.0,0.0,3.1
2019-13,15.2,20.1,10.2,40.7(27/jun),-2.3(05/ene),7.2,21.3,1266.6,6.0,18.0,4.7
2020-1,10.4,15.0,5.6,22.4(31),0.1(06),7.1,13.3,47.5,0.0,0.0,3.4
2020-2,12.7,17.8,7.6,26.0(03),2.7(20),10.8,17.6,38.3,0.0,0.0,4.2
2020-3,11.2,16.2,6.2,24.3(19),1.2(27),7.4,13.4,151.2,0.0,0.0,3.5
2020-4,15.7,20.3,11.0,27.0(09),2.4(03),14.8,14.6,47.1,0.0,0.0,3.5
2020-5,18.1,23.6,12.7,32.8(28),7.5(17),14.4,16.6,46.8,0.0,3.0,6.8
2020-6,18.4,22.7,14.0,32.2(23),9.9(12),18.5,19.0,90.4,0.0,1.0,5.1
2020-7,21.0,25.9,16.1,41.5(30),10.5(04),19.6,19.9,27.9,0.0,1.0,6.8
2020-8,22.2,27.6,16.7,38.8(06),10.5(31),19.8,21.7,57.1,0.0,8.0,6.0
2020-9,20.4,26.5,14.3,37.7(13),9.6(30),18.1,20.2,76.9,1.0,8.0,6.8
2020-10,15.2,19.8,10.6,26.5(31),5.0(17),12.7,16.8,194.8,1.0,0.0,2.8
2020-11,14.5,19.3,9.6,26.5(02),2.9(22),13.1,17.5,42.6,0.0,0.0,4.4
2020-12,10.4,13.8,6.9,23.0(22),1.4(05),7.9,13.8,293.5,1.0,0.0,1.7
2020-13,15.9,20.7,10.9,41.5(30/jul),0.1(06/ene),7.1,21.7,1114.1,3.0,21.0,4.6
2021-1,8.8,12.3,5.3,19.9(28),-1.6(07),4.3,14.6,146.8,0.0,0.0,1.4
2021-2,13.1,17.2,8.9,22.3(20),4.7(11),11.3,16.4,97.2,0.0,0.0,2.4
2021-3,11.8,16.7,6.9,28.7(31),0.2(10),9.6,17.3,40.1,0.0,0.0,4.6
2021-4,12.5,17.5,7.5,26.2(24),1.1(16),11.7,16.8,48.4,0.0,0.0,4.9
2021-5,14.9,20.4,9.3,30.9(08),4.6(03),14.8,13.6,62.4,0.0,2.0,5.5
2021-6,18.6,23.1,14.1,34.1(13),8.9(05),16.3,19.0,116.1,1.0,1.0,4.7
2021-7,19.7,23.9,15.4,34.7(05),10.7(09),19.1,19.2,31.0,0.0,1.0,5.1
2021-8,20.0,24.6,15.4,29.0(05),11.9(02),20.1,20.6,22.7,0.0,0.0,6.0
2021-9,20.9,26.1,15.6,38.8(06),11.0(30),20.1,19.8,78.5,0.0,6.0,5.6
2021-10,16.2,22.1,10.4,29.5(20),6.2(14),17.2,20.7,45.1,0.0,0.0,5.8
2021-11,10.8,14.0,7.5,21.0(02),3.6(19),10.0,11.7,353.5,5.0,0.0,2.1
2021-12,12.3,16.8,7.7,25.2(31),1.4(15),10.0,13.9,240.7,4.0,0.0,3.6
2021-13,15.0,19.6,10.3,38.8(06/sep),-1.6(07/ene),4.3,20.7,1282.5,10.0,10.0,4.3
