fecha,tm_mes,tm_max,tm_min,ta_max,ta_min,ti_max,ts_min,p_mes,np_300,nt_30,inso
1970-1,10.8,14.2,7.3,19.6(19),-2.6(07),5.0,13.6,94.1,0.0,0.0,2.1
1970-2,8.7,12.8,4.6,18.6(07),-0.5(28),7.4,10.2,161.5,2.0,0.0,2.6
1970-3,7.8,12.0,3.6,23.4(21),-1.6(12),6.4,11.8,120.5,0.0,0.0,2.7
1970-4,10.0,14.5,5.4,29.2(16),0.0(06),8.6,11.0,120.7,0.0,0.0,4.1
1970-5,14.4,19.7,9.2,32.4(24),3.8(08),12.6,14.4,39.9,0.0,1.0,5.5
1970-6,18.5,23.5,13.5,31.8(26),9.0(01),17.2,18.4,55.6,0.0,1.0,5.2
1970-7,19.5,24.7,14.4,36.2(06),10.2(05),18.6,18.8,37.2,0.0,3.0,5.4
1970-8,20.1,24.9,15.3,33.0(02),11.0(25),18.8,18.0,150.2,1.0,5.0,4.9
1970-9,19.1,25.5,12.7,34.6(07),7.4(17),16.4,19.0,49.2,1.0,7.0,6.2
1970-10,13.8,19.4,8.2,27.8(31),2.4(28),10.6,17.6,109.4,1.0,0.0,5.0
1970-11,14.0,18.2,9.7,26.0(01),4.8(22),11.0,15.4,121.3,1.0,0.0,3.0
1970-12,6.1,10.5,1.7,18.4(11),-3.8(19),2.4,9.6,99.9,0.0,0.0,2.3
1970-13,13.6,18.3,8.8,36.2(06/jul),-3.8(19/dic),2.4,19.0,1159.5,6.0,17.0,4.1
1971-1,8.8,13.4,4.2,22.2(10),-4.6(04),2.8,11.0,86.2,0.0,0.0,2.9
1971-2,8.0,13.3,2.8,19.4(26),-2.6(04),5.4,9.8,85.9,0.0,0.0,4.2
1971-3,6.9,11.2,2.5,17.4(30),-2.8(09),4.0,9.8,126.7,1.0,0.0,3.3
1971-4,13.4,18.5,8.3,28.6(19),5.6(26),10.6,13.0,117.4,1.0,0.0,3.0
1971-5,14.5,18.4,10.6,28.4(06),3.4(25),13.6,16.0,168.0,0.0,0.0,3.4
1971-6,16.0,20.1,11.8,24.4(03),5.6(17),15.6,15.2,115.0,1.0,0.0,4.5
1971-7,21.5,26.7,16.4,35.6(11),11.8(20),21.2,20.4,97.0,1.0,8.0,6.3
1971-8,19.6,24.7,14.5,31.8(18),10.6(07),19.0,17.6,63.5,0.0,3.0,5.5
1971-9,17.7,23.2,12.2,32.6(03),5.0(17),16.6,18.4,78.0,0.0,3.0,5.2
1971-10,17.4,23.1,11.6,27.6(01),7.8(31),16.6,16.2,48.0,0.0,0.0,6.0
1971-11,9.5,13.4,5.7,23.2(04),0.2(26),6.4,9.2,340.7,4.0,0.0,1.8
1971-12,9.3,13.2,5.3,19.0(13),-2.0(12),6.6,10.4,114.6,1.0,0.0,2.7
1971-13,13.6,18.3,8.8,35.6(11/jul),-4.6(04/ene),2.8,20.4,1441.0,9.0,14.0,4.1
1972-1,7.5,11.4,3.7,16.8(11),-1.8(23),6.8,10.2,215.5,2.0,0.0,2.7
1972-2,9.5,13.7,5.3,18.6(24),0.4(29),9.2,10.8,172.5,1.0,0.0,3.0
1972-3,10.8,15.9,5.7,23.6(25),1.8(07),8.8,9.8,71.9,0.0,0.0,4.4
1972-4,10.8,14.5,7.0,22.2(07),1.8(23),9.0,11.2,164.6,1.0,0.0,2.8
1972-5,12.7,17.2,8.2,27.6(21),5.2(18),9.0,12.8,156.4,1.0,0.0,4.6
1972-6,15.1,19.8,10.4,25.6(04),6.0(09),15.0,15.0,71.5,0.0,0.0,4.6
1972-7,18.6,23.8,13.4,34.8(04),8.0(03),16.0,18.8,36.2,0.0,1.0,6.4
1972-8,18.0,22.8,13.2,32.0(08),7.8(21),18.0,17.4,83.0,1.0,1.0,5.4
1972-9,15.4,21.1,9.8,26.8(08),3.8(28),15.4,16.0,79.9,0.0,0.0,5.0
1972-10,14.9,20.0,9.7,25.6(08),2.2(23),13.6,19.6,30.3,0.0,0.0,3.5
1972-11,12.0,16.4,7.6,21.8(21),-1.8(27),8.6,12.6,72.4,0.0,0.0,2.4
1972-12,9.9,13.8,6.1,20.0(17),0.6(10),9.6,13.6,97.8,0.0,0.0,3.2
1972-13,12.9,17.5,8.3,34.8(04/jul),-1.8(23/ene),6.8,19.6,1252.0,6.0,2.0,4.0
1973-1,8.1,12.1,4.2,16.8(12),-0.8(04),6.8,9.0,162.3,1.0,0.0,2.4
1973-2,7.5,11.7,3.3,18.4(04),-2.6(05),8.0,9.0,238.3,1.0,0.0,3.1
1973-3,8.4,14.2,2.6,25.6(04),-2.8(11),7.6,9.8,46.1,0.0,0.0,5.3
1973-4,10.1,15.4,4.8,27.0(30),0.8(04),8.6,17.0,109.2,1.0,0.0,5.1
1973-5,16.0,21.8,10.2,34.4(25),5.0(10),13.2,16.2,80.4,1.0,2.0,6.2
1973-6,17.3,21.7,12.9,33.0(25),7.0(03),13.8,17.4,93.6,0.0,1.0,4.0
1973-7,18.9,22.9,15.0,28.6(03),11.8(23),18.4,18.4,55.6,0.0,0.0,3.8
1973-8,21.2,25.4,17.0,35.4(12),11.4(31),21.6,20.6,99.9,1.0,3.0,5.0
1973-9,19.3,25.0,13.7,35.0(11),6.4(24),16.4,20.2,162.1,2.0,7.0,5.0
1973-10,14.2,20.0,8.4,27.2(12),3.4(25),12.6,14.8,56.9,0.0,0.0,4.7
1973-11,10.9,16.1,5.7,24.4(01),-1.0(27),8.2,16.6,50.2,0.0,0.0,4.9
1973-12,8.2,11.6,4.7,18.0(20),-1.4(10),4.4,11.0,148.5,1.0,0.0,2.0
1973-13,13.3,18.2,8.5,35.4(12/ago),-2.8(11/mar),4.4,20.6,1303.1,8.0,13.0,4.3
1974-1,11.1,15.7,6.6,20.8(10),-1.2(20),9.2,13.8,53.9,0.0,0.0,3.0
1974-2,9.2,12.7,5.7,20.6(09),0.6(03),8.0,9.6,161.9,0.0,0.0,2.6
1974-3,10.4,15.0,5.9,24.6(17),-1.8(07),6.0,11.2,138.9,1.0,0.0,2.8
1974-4,11.0,15.9,6.1,25.6(01),2.2(18),9.8,11.0,84.3,0.0,0.0,4.8
1974-5,14.3,19.0,9.5,32.4(15),2.0(08),11.8,14.4,86.3,0.0,1.0,4.5
1974-6,17.3,23.0,11.6,33.4(21),6.8(11),16.8,16.0,42.1,0.0,1.0,6.8
1974-7,18.8,23.7,13.8,36.4(02),10.0(04),18.6,17.8,103.9,2.0,3.0,5.4
1974-8,19.0,24.4,13.6,38.6(14),8.0(31),18.8,17.8,68.7,1.0,3.0,5.7
1974-9,17.1,21.9,12.3,33.0(11),7.2(21),15.2,17.8,99.8,0.0,2.0,4.0
1974-10,11.7,14.8,8.5,20.6(01),4.0(30),10.4,12.4,383.4,3.0,0.0,1.4
1974-11,12.1,16.2,8.0,21.2(14),2.8(19),11.0,18.8,170.6,2.0,0.0,2.5
1974-12,9.8,13.4,6.2,20.8(26),-0.6(15),9.2,10.8,55.1,0.0,0.0,2.0
1974-13,13.5,18.0,9.0,38.6(14/ago),-1.8(07/mar),6.0,18.8,1448.9,9.0,10.0,3.8
1975-1,10.1,14.3,6.0,20.6(14),-2.6(01),7.0,12.0,86.4,0.0,0.0,2.5
1975-2,10.5,15.2,5.8,19.8(21),-1.4(02),9.6,12.2,35.5,0.0,0.0,4.2
1975-3,8.8,12.5,5.1,20.0(01),-0.6(22),7.4,11.2,210.8,2.0,0.0,2.3
1975-4,11.0,15.3,6.8,27.0(28),-0.2(05),8.2,12.0,191.6,1.0,0.0,3.0
1975-5,13.5,17.9,9.0,28.2(20),2.6(01),11.4,14.2,86.0,0.0,0.0,4.0
1975-6,17.5,22.4,12.6,31.6(05),3.6(02),15.6,19.0,43.0,0.0,1.0,6.6
1975-7,20.4,26.9,13.9,39.6(13),8.8(01),22.4,18.8,9.5,0.0,4.0,8.7
1975-8,20.7,26.0,15.4,39.6(03),10.6(11),19.0,18.8,66.3,0.0,3.0,6.2
1975-9,18.2,23.4,13.0,29.4(29),8.4(18),13.8,17.6,91.0,0.0,0.0,4.5
1975-10,15.6,20.8,10.4,31.2(02),3.4(19),7.2,17.6,127.2,2.0,1.0,4.3
1975-11,10.3,14.7,5.9,22.2(15),-1.2(23),9.6,15.2,261.0,2.0,0.0,2.2
1975-12,6.6,10.3,2.9,15.0(02),-3.8(24),6.2,7.4,99.6,0.0,0.0,1.7
1975-13,13.6,18.3,8.9,39.6(13/jul),-3.8(24/dic),6.2,19.0,1307.9,7.0,9.0,4.2
1976-1,7.4,12.1,2.7,20.8(08),-3.2(17),3.8,8.0,113.2,0.0,0.0,3.3
1976-2,10.2,14.7,5.7,22.6(29),-1.2(17),6.8,10.2,74.0,0.0,0.0,3.9
1976-3,10.0,15.9,4.2,24.6(18),-2.0(10),9.2,9.0,86.4,0.0,0.0,4.7
1976-4,10.0,14.3,5.7,23.2(19),-0.2(11),8.6,10.2,178.6,2.0,0.0,3.5
1976-5,14.6,20.3,8.9,29.8(05),1.2(01),14.0,13.2,28.8,0.0,0.0,6.4
1976-6,19.7,25.6,13.7,35.8(29),6.2(06),19.2,18.8,4.9,0.0,7.0,6.7
1976-7,20.4,26.3,14.5,33.4(15),10.0(23),20.6,19.0,110.7,1.0,6.0,6.4
1976-8,20.5,26.3,14.7,35.0(03),10.0(02),20.4,18.2,78.1,0.0,5.0,6.9
1976-9,17.5,23.0,12.0,31.6(07),7.4(11),17.4,17.4,88.7,0.0,1.0,4.9
1976-10,15.0,19.2,10.8,29.6(08),5.0(26),13.2,20.0,158.4,0.0,0.0,3.7
1976-11,10.1,14.5,5.7,20.8(09),-2.2(25),10.4,12.8,98.9,0.0,0.0,3.3
1976-12,9.5,13.4,5.5,20.0(31),-3.2(27),4.8,13.0,117.5,1.0,0.0,2.9
1976-13,13.7,18.8,8.7,35.8(29/jun),-3.2(17/ene),3.8,20.0,1138.2,4.0,19.0,4.7
1977-1,8.1,12.0,4.2,20.6(25),-2.2(10),4.6,12.8,81.7,0.0,0.0,2.2
1977-2,12.1,17.0,7.1,22.4(20),3.6(01),10.8,15.2,66.9,1.0,0.0,3.1
1977-3,12.9,18.9,6.8,27.8(06),1.6(22),8.2,13.0,81.5,0.0,0.0,5.3
1977-4,11.4,15.9,6.9,23.6(22),2.0(09),10.0,12.0,90.7,0.0,0.0,3.7
1977-5,13.1,17.4,8.9,23.8(11),1.6(03),13.6,13.2,214.7,1.0,0.0,3.3
1977-6,15.9,20.3,11.5,25.6(17),7.2(15),12.6,15.2,196.5,1.0,0.0,5.5
1977-7,18.4,22.7,14.2,31.6(10),10.4(17),17.6,17.6,192.5,2.0,1.0,5.5
1977-8,17.9,22.9,12.9,28.8(15),8.6(30),18.2,16.4,95.7,0.0,0.0,5.5
