fecha,tm_mes,tm_max,tm_min,ta_max,ta_min,ti_max,ts_min,p_mes,np_300,nt_30,inso
2021-1,7.5,9.8,5.1,17.4(30),0.0(06),2.5,11.9,211.6,0.0,0.0,2.1
2021-2,12.2,15.3,9.0,22.6(20),5.6(07),10.1,14.2,134.6,2.0,0.0,3.2
2021-3,11.0,13.7,8.4,26.6(31),2.3(20),8.4,18.0,38.6,0.0,0.0,5.3
2021-4,11.9,15.2,8.5,25.5(01),3.5(13),10.0,18.4,65.7,0.0,0.0,6.7
2021-5,13.6,17.4,9.7,30.4(08),6.0(03),11.9,14.0,88.2,0.0,1.0,7.4
2021-6,17.2,20.2,14.2,31.0(16),10.5(28),14.0,17.3,202.1,3.0,1.0,5.1
2021-7,18.0,20.6,15.4,27.6(05),12.0(09),17.0,18.0,103.1,1.0,0.0,5.3
2021-8,18.5,21.2,15.7,26.5(05),12.6(02),19.0,19.0,37.1,0.0,0.0,6.8
2021-9,19.0,22.1,15.8,32.5(06),11.7(30),16.8,21.5,191.1,1.0,1.0,5.1
2021-10,15.5,18.8,12.1,26.0(19),7.9(14),14.4,19.5,94.3,0.0,0.0,6.0
2021-11,9.7,12.0,7.3,18.0(02),4.0(29),7.0,11.2,270.4,3.0,0.0,2.2
2021-12,11.5,14.4,8.6,21.7(31),3.5(08),8.4,15.5,239.8,4.0,0.0,3.7
2021-13,13.8,16.7,10.8,32.5(06/sep),0.0(06/ene),2.5,21.5,1676.6,14.0,3.0,4.9
2022-1,8.1,10.8,5.4,22.6(01),0.4(23),4.0,16.6,124.7,1.0,0.0,4.8
2022-2,9.8,13.2,6.5,19.4(09),2.5(26),9.2,11.7,56.3,0.0,0.0,4.6
2022-3,11.7,14.9,8.5,20.0(15),5.2(05),8.5,14.8,138.6,0.0,0.0,3.4
2022-4,11.4,14.6,8.1,24.8(11),0.6(03),7.0,15.8,149.4,2.0,0.0,5.0
2022-5,16.3,19.7,12.7,32.0(18),9.5(01),13.8,16.3,51.5,0.0,1.0,6.5
2022-6,18.7,22.1,15.2,39.7(18),11.9(30),16.5,19.6,124.6,0.0,3.0,6.2
2022-7,20.8,24.2,17.4,38.3(18),11.5(01),17.8,21.7,28.7,0.0,3.0,8.7
2022-8,21.4,24.3,18.3,33.0(10),15.0(18),18.0,22.5,76.5,0.0,4.0,6.8
2022-9,18.6,22.1,15.1,33.9(11),10.3(25),14.0,22.5,147.6,2.0,4.0,6.4
2022-10,19.6,22.9,16.3,28.0(19),11.8(01),17.7,24.3,40.6,0.0,0.0,4.1
2022-11,13.4,16.5,10.2,22.0(13),6.4(19),9.5,17.5,317.3,4.0,0.0,3.6
2022-12,11.9,14.7,9.0,20.0(31),2.0(10),7.4,15.7,82.4,0.0,0.0,2.9
2022-13,15.1,18.3,11.9,39.7(18/jun),0.4(23/ene),4.0,24.3,1338.2,9.0,15.0,5.3
