fecha,tm_mes,tm_max,tm_min,ta_max,ta_min,ti_max,ts_min,p_mes,np_300,nt_30,inso
1970-1,9.5,12.1,6.8,18.0(19),-1.4(07),5.0,13.0,196.7,2.0,0.0,2.4
1970-2,7.7,9.9,5.5,14.0(04),-2.0(28),3.0,11.0,165.8,0.0,0.0,2.3
1970-3,7.2,10.0,4.3,20.6(21),-1.2(02),2.1,9.5,101.0,0.0,0.0,2.6
1970-4,9.5,12.5,6.5,26.5(16),1.2(03),6.9,10.9,174.3,1.0,0.0,3.9
1970-5,14.0,17.4,10.4,30.6(24),5.0(08),9.4,15.0,89.4,1.0,1.0,6.1
1970-6,18.1,21.3,14.7,30.5(26),12.2(21),16.2,17.8,84.4,1.0,1.0,5.0
1970-7,18.8,22.0,15.6,34.6(06),12.4(27),16.7,18.8,35.9,0.0,1.0,6.8
1970-8,19.4,22.5,16.1,31.1(02),10.5(10),18.0,20.1,161.8,2.0,1.0,5.1
1970-9,19.3,23.4,15.2,32.0(07),10.2(11),17.6,21.6,78.6,1.0,1.0,6.7
1970-10,14.0,17.4,10.6,23.5(17),4.5(22),9.0,15.8,125.3,0.0,0.0,5.3
1970-11,13.9,16.4,11.4,24.0(02),4.8(15),9.7,18.3,141.6,1.0,0.0,3.9
1970-12,6.2,8.4,3.9,18.5(10),-1.5(31),1.8,13.8,86.7,0.0,0.0,3.0
1970-13,13.1,16.1,10.1,34.6(06/jul),-2.0(28/feb),1.8,21.6,1441.5,9.0,5.0,4.4
1971-1,8.6,11.7,5.5,20.3(10),-5.2(01),1.3,10.8,155.9,0.0,0.0,3.7
1971-2,7.5,10.3,4.6,17.0(06),-0.8(03),5.5,8.2,142.2,0.0,0.0,4.6
1971-3,5.9,8.9,2.9,16.5(30),-5.5(06),1.0,9.5,101.8,0.0,0.0,3.7
1971-4,12.9,16.3,9.4,25.2(19),5.4(24),8.7,13.5,156.9,1.0,0.0,3.5
1971-5,13.5,16.3,10.7,25.5(06),5.4(25),9.7,14.8,178.0,0.0,0.0,3.3
1971-6,14.9,18.0,11.8,24.5(03),7.3(11),14.3,14.8,120.9,0.0,0.0,4.8
1971-7,20.6,24.2,16.8,32.2(08),13.5(21),18.1,23.0,110.6,2.0,4.0,6.8
1971-8,19.2,22.5,15.9,28.3(25),11.8(07),17.6,18.4,111.6,0.0,0.0,6.1
1971-9,17.9,21.2,14.5,28.3(04),9.4(17),16.7,18.5,84.9,0.0,0.0,5.7
1971-10,17.4,20.8,13.9,26.0(02),10.4(16),16.4,17.7,66.5,0.0,0.0,5.9
1971-11,8.0,10.9,5.1,21.1(04),-0.6(26),2.0,11.6,268.3,1.0,0.0,2.2
1971-12,8.5,10.8,6.1,18.6(13),2.0(09),4.7,12.1,96.4,0.0,0.0,2.3
1971-13,12.9,16.0,9.8,32.2(08/jul),-5.5(06/mar),1.0,23.0,1594.0,4.0,4.0,4.4
1972-1,7.1,9.7,4.4,14.3(07),-1.3(23),5.0,8.9,168.3,0.0,0.0,2.9
1972-2,8.6,11.5,5.8,15.8(06),1.4(17),6.6,10.1,148.4,1.0,0.0,2.6
1972-3,10.3,13.9,6.7,20.6(23),3.4(02),7.2,11.3,109.3,0.0,0.0,5.0
1972-4,9.8,12.5,7.1,20.0(06),2.6(21),8.3,9.6,189.8,1.0,0.0,2.8
1972-5,11.8,15.0,8.6,24.4(21),5.0(17),8.9,14.0,155.7,2.0,0.0,4.9
1972-6,14.4,17.6,11.1,22.0(04),6.4(06),12.2,13.7,101.8,0.0,0.0,5.7
1972-7,18.1,21.3,14.8,32.2(04),10.8(01),16.7,18.1,27.8,0.0,1.0,6.9
1972-8,17.3,20.4,14.3,30.3(08),11.1(20),16.6,17.5,144.8,1.0,1.0,5.0
1972-9,15.3,18.7,11.9,24.9(23),8.0(27),12.5,17.4,58.3,0.0,0.0,5.5
1972-10,14.5,17.9,11.1,23.4(06),5.6(23),11.0,19.0,50.3,0.0,0.0,4.2
1972-11,11.2,13.9,8.5,20.3(21),1.0(27),5.6,13.9,89.7,0.0,0.0,2.6
1972-12,9.3,12.2,6.4,19.0(17),2.0(24),7.5,13.0,122.6,1.0,0.0,4.1
1972-13,12.3,15.4,9.2,32.2(04/jul),-1.3(23/ene),5.0,19.0,1366.8,6.0,2.0,4.4
1973-1,7.2,9.7,4.7,15.9(12),1.6(22),5.0,8.2,128.4,1.0,0.0,2.6
1973-2,6.5,9.1,3.8,16.4(08),0.1(04),4.0,6.8,196.1,1.0,0.0,3.3
1973-3,8.4,12.0,4.8,21.7(04),0.0(11),5.6,9.4,67.8,0.0,0.0,5.8
1973-4,9.8,13.1,6.4,24.4(30),0.7(10),6.6,15.0,82.1,0.0,0.0,4.8
1973-5,15.8,20.2,11.4,31.1(25),6.1(06),12.0,18.3,111.7,1.0,1.0,7.0
1973-6,16.4,19.3,13.5,28.6(25),8.4(02),12.4,19.0,140.6,0.0,0.0,4.1
1973-7,17.9,20.5,15.2,24.0(03),12.2(23),17.0,18.0,93.0,0.0,0.0,4.0
1973-8,20.5,23.4,17.5,31.5(10),14.2(05),18.6,20.2,126.2,1.0,2.0,5.1
1973-9,18.6,22.5,14.6,33.0(03),8.0(24),12.5,22.0,227.9,3.0,2.0,5.0
1973-10,14.0,17.6,10.3,23.2(05),6.5(21),12.2,14.1,37.1,0.0,0.0,5.0
1973-11,10.9,14.2,7.6,22.0(01),-0.8(27),5.4,17.0,144.6,1.0,0.0,5.4
1973-12,7.3,9.9,4.8,15.0(20),-6.7(03),2.0,10.2,176.6,0.0,0.0,2.4
1973-13,12.8,16.0,9.6,33.0(03/sep),-6.7(03/dic),2.0,22.0,1532.1,8.0,5.0,4.5
1974-1,10.3,13.6,7.0,19.8(10),2.2(02),6.8,12.1,65.3,0.0,0.0,3.5
1974-2,7.8,10.5,5.1,17.5(09),2.1(02),5.3,10.3,190.9,0.0,0.0,2.9
1974-3,9.4,12.5,6.2,21.2(17),0.0(05),6.5,11.0,207.2,1.0,0.0,3.3
1974-4,10.4,14.0,6.7,21.9(01),3.0(27),9.2,11.0,189.5,1.0,0.0,3.8
1974-5,12.9,16.6,9.2,29.4(15),4.4(02),10.0,16.0,111.6,0.0,0.0,4.8
1974-6,16.4,20.3,12.5,30.3(21),9.5(07),14.1,18.7,56.5,0.0,1.0,7.3
1974-7,17.6,21.0,14.1,31.0(02),12.0(04),16.7,16.5,103.1,0.0,1.0,4.8
1974-8,18.5,22.4,14.5,36.4(15),9.7(31),16.6,18.0,74.6,0.0,2.0,6.1
1974-9,16.3,19.7,12.8,29.5(11),7.2(29),13.7,21.8,178.9,0.0,0.0,4.3
1974-10,10.0,12.7,7.4,17.0(01),1.4(30),7.8,10.5,403.0,4.0,0.0,1.6
1974-11,11.1,13.8,8.4,18.5(22),4.0(05),8.4,15.6,187.7,2.0,0.0,2.5
1974-12,9.4,11.5,7.3,18.3(25),3.0(31),7.8,11.8,71.9,0.0,0.0,2.8
