fecha,tm_mes,tm_max,tm_min,ta_max,ta_min,ti_max,ts_min,p_mes,np_300,nt_30,inso
1994-1,5.3,9.0,1.6,14.6(12),-7.4(19),-0.2,8.6,47.1,0.0,0.0,2.6
1994-2,6.6,11.6,1.5,19.9(26),-3.6(06),5.4,9.5,38.4,0.0,0.0,4.6
1994-3,10.1,15.9,4.4,24.4(25),-2.0(18),8.8,13.0,17.7,0.0,0.0,4.9
1994-4,8.3,13.3,3.3,26.9(29),-0.8(13),6.4,8.5,92.2,0.0,0.0,5.4
1994-5,14.1,20.6,7.6,31.8(31),1.7(12),12.4,13.4,59.0,0.0,1.0,7.1
1994-6,16.5,23.3,9.6,32.4(30),5.0(14),15.6,13.8,83.3,1.0,4.0,8.8
1994-7,20.9,27.1,14.7,34.8(03),9.0(08),20.6,18.2,4.9,0.0,10.0,7.8
1994-8,20.8,27.1,14.5,36.2(21),9.5(18),18.4,19.8,30.4,0.0,8.0,7.0
1994-9,15.2,20.5,9.9,32.4(06),3.6(19),11.8,14.0,32.9,0.0,1.0,5.0
1994-10,13.0,18.1,8.0,24.4(13),2.0(06),10.2,14.0,64.4,0.0,0.0,4.7
1994-11,10.4,14.6,6.2,19.0(01),1.4(14),7.2,12.4,45.0,0.0,0.0,3.8
1994-12,7.0,10.6,3.4,16.8(05),-1.4(28),3.2,9.6,111.2,1.0,0.0,2.1
1994-13,12.4,17.6,7.1,36.2(21/ago),-7.4(19/ene),-0.2,19.8,626.5,2.0,24.0,5.3
1995-1,6.2,10.0,2.5,15.2(24),-5.5(15),4.8,10.4,124.3,1.0,0.0,2.9
1995-2,7.7,12.9,2.5,18.0(14),-2.0(04),4.6,10.8,80.1,0.0,0.0,4.4
1995-3,7.8,13.4,2.1,21.2(19),-3.3(01),4.6,8.5,64.1,0.0,0.0,5.9
1995-4,9.9,16.4,3.3,24.6(02),-1.1(22),7.4,8.7,30.1,0.0,0.0,7.4
1995-5,14.7,21.1,8.3,28.4(28),1.0(14),10.0,13.0,45.0,0.0,0.0,6.6
1995-6,15.5,22.0,8.9,32.7(19),3.4(15),15.8,16.2,23.5,0.0,2.0,7.6
1995-7,20.9,28.0,13.8,37.2(19),7.2(06),18.5,19.2,56.3,0.0,11.0,8.7
1995-8,19.5,25.3,13.7,31.2(17),7.2(29),20.1,17.6,18.6,0.0,5.0,8.0
1995-9,14.4,19.9,8.8,27.2(09),2.5(27),13.6,16.0,26.8,0.0,0.0,4.5
1995-10,15.7,22.2,9.1,27.0(02),1.2(22),15.4,15.6,7.4,0.0,0.0,6.3
1995-11,9.5,14.9,4.2,21.9(01),-4.6(06),8.4,11.0,55.7,0.0,0.0,4.1
1995-12,6.9,10.3,3.4,17.1(22),-4.0(15),1.6,11.4,75.3,0.0,0.0,2.3
1995-13,12.4,18.0,6.7,37.2(19/jul),-5.5(15/ene),1.6,19.2,607.2,1.0,18.0,5.7
1996-1,7.7,11.3,4.0,14.4(01),-1.4(13),7.2,8.2,48.6,0.0,0.0,3.3
1996-2,4.1,7.8,0.4,13.5(18),-6.8(24),0.0,5.6,132.3,1.0,0.0,3.2
1996-3,8.0,13.7,2.3,22.2(23),-6.4(12),5.8,9.7,30.5,0.0,0.0,5.6
1996-4,10.3,16.4,4.2,22.0(12),-3.8(04),6.2,10.2,47.0,0.0,0.0,6.2
1996-5,12.8,19.5,6.1,32.0(30),-0.4(13),9.8,13.4,33.4,0.0,1.0,7.6
1996-6,17.3,23.6,10.9,31.2(15),3.6(04),12.7,15.8,55.9,0.0,6.0,8.4
1996-7,18.7,25.5,11.9,36.0(22),4.8(09),17.5,17.8,44.0,0.0,7.0,8.4
1996-8,18.2,23.5,12.9,33.1(17),8.2(30),16.4,16.2,49.2,0.0,5.0,5.6
1996-9,14.3,20.9,7.7,27.4(16),3.0(15),14.8,11.7,62.2,0.0,0.0,6.5
1996-10,12.2,17.6,6.7,26.0(22),0.2(31),11.2,12.6,56.1,0.0,0.0,5.1
1996-11,8.4,12.4,4.4,18.6(03),0.4(13),5.4,9.6,176.0,0.0,0.0,2.3
1996-12,5.9,8.8,2.9,13.6(13),-5.8(29),2.4,9.8,115.1,1.0,0.0,1.7
1996-13,11.5,16.8,6.2,36.0(22/jul),-6.8(24/feb),0.0,17.8,850.3,2.0,19.0,5.3
