año,tm_mes,tm_max,tm_min,ta_max,ta_min,ti_max,ts_min,p_mes,np_300,nt_30,inso
1970,13.6,18.3,8.8,36.2,-3.8,2.4,19.0,1159.5,6.0,17.0,4.1
1971,13.6,18.3,8.8,35.6,-4.6,2.8,20.4,1441.0,9.0,14.0,4.1
1972,12.9,17.5,8.3,34.8,-1.8,6.8,19.6,1252.0,6.0,2.0,4.0
1973,13.3,18.2,8.5,35.4,-2.8,4.4,20.6,1303.1,8.0,13.0,4.3
1974,13.5,18.0,9.0,38.6,-1.8,6.0,18.8,1448.9,9.0,10.0,3.8
1975,13.6,18.3,8.9,39.6,-3.8,6.2,19.0,1307.9,7.0,9.0,4.2
1976,13.7,18.8,8.7,35.8,-3.2,3.8,20.0,1138.2,4.0,19.0,4.7
1977,13.9,18.6,9.2,35.0,-2.2,4.6,18.8,1323.5,7.0,2.0,4.0
1978,13.9,18.3,9.4,35.0,-1.4,4.8,20.2,1305.4,10.0,6.0,4.1
1979,13.9,18.3,9.4,34.0,-0.4,3.8,19.4,1571.1,9.0,7.0,3.4
1980,13.7,18.1,9.2,34.6,-3.8,4.8,18.4,1226.7,6.0,10.0,4.1
1981,14.2,18.8,9.6,38.4,-2.2,4.6,20.4,969.4,3.0,14.0,3.3
1982,14.6,19.2,10.1,40.4,0.0,8.0,22.2,1188.8,2.0,19.0,3.0
1983,14.9,19.7,10.0,38.6,-3.2,2.6,25.0,1315.3,5.0,21.0,3.4
1984,13.8,18.5,9.0,39.4,-2.6,5.8,17.4,1385.6,5.0,13.0,3.2
1985,14.6,20.0,9.2,39.3,-6.6,-0.2,21.2,1045.6,5.0,33.0,4.1
1986,14.4,19.5,9.3,40.3,-4.2,5.5,20.4,1226.1,3.0,19.0,4.4
1987,15.0,20.0,9.8,40.6,-2.5,3.6,20.6,981.8,4.0,17.0,4.4
1988,15.0,20.1,9.8,41.7,-6.2,6.4,19.6,1068.0,4.0,13.0,4.7
1989,15.5,21.1,9.8,37.6,-2.6,7.0,20.5,824.0,6.0,22.0,5.8
1990,15.0,20.3,9.6,39.2,-4.2,4.5,21.8,1024.8,6.0,20.0,5.3
1991,13.9,18.9,8.9,35.0,-3.2,6.7,20.3,1073.4,6.0,20.0,4.7
1992,14.0,18.9,9.1,35.1,-3.0,6.1,19.5,1349.6,9.0,19.0,4.4
1993,13.9,18.9,8.9,35.7,-5.7,5.0,18.5,1066.5,4.0,8.0,4.8
1994,14.9,19.5,10.2,36.0,-4.0,5.9,21.0,1258.1,9.0,12.0,4.6
1995,15.1,20.2,9.9,35.9,-2.8,4.6,20.6,1033.0,8.0,13.0,5.1
1996,14.2,18.8,9.6,36.0,-2.8,4.0,19.4,1289.3,6.0,12.0,4.9
1997,15.5,20.3,10.7,34.0,-1.0,4.6,21.8,1023.1,3.0,14.0,5.1
1998,14.7,19.4,10.0,37.3,-3.2,6.0,20.3,1212.3,4.0,9.0,4.9
1999,14.6,19.3,9.8,34.5,-3.0,4.2,20.6,1000.4,1.0,13.0,4.8
2000,14.6,19.3,9.8,34.5,-3.0,4.2,20.6,1000.4,1.0,13.0,4.8
2001,14.7,19.0,10.4,35.1,0.8,8.2,19.3,1033.4,4.0,5.0,0.0
2002,14.7,19.0,10.4,35.1,0.8,8.2,19.3,1033.4,4.0,5.0,0.0
2003,15.8,20.3,11.2,41.9,-2.3,5.0,23.5,1138.1,2.0,31.0,4.3
2004,14.8,19.2,10.4,36.8,-0.4,6.1,23.3,1069.3,5.0,21.0,4.0
2005,14.8,19.4,10.2,37.8,-3.9,3.1,20.7,1215.4,6.0,20.0,4.7
2006,15.6,20.3,11.0,37.8,-2.9,2.1,21.6,959.4,5.0,22.0,4.3
2007,14.6,18.9,10.2,35.6,-3.0,5.8,20.7,1089.0,5.0,13.0,4.0
2008,14.8,19.1,10.4,38.1,-1.1,7.4,20.2,1428.4,8.0,8.0,4.2
2009,15.1,19.7,10.5,39.3,-1.1,4.4,21.3,1170.2,6.0,16.0,4.2
2010,14.6,19.2,9.9,35.1,-3.0,3.6,21.4,1300.8,3.0,10.0,4.1
2011,16.2,21.0,11.4,41.0,-1.7,6.5,21.9,904.1,4.0,25.0,0.0
2012,14.4,19.1,9.6,36.2,-3.0,3.0,21.7,1031.0,2.0,21.0,4.3
2013,14.5,18.9,9.9,40.3,-0.4,3.5,21.6,1647.5,6.0,20.0,3.8
2014,16.1,20.9,11.2,36.4,-2.2,7.6,20.1,1071.3,4.0,26.0,4.0
2015,15.2,20.0,10.4,38.8,-1.3,3.0,21.9,1163.6,6.0,23.0,4.1
2016,14.9,19.8,10.0,40.4,-1.8,8.9,20.6,1240.1,9.0,20.0,4.2
2017,15.3,20.3,10.2,38.4,-4.1,4.3,22.2,1313.5,6.0,20.0,4.7
2018,15.2,19.7,10.7,38.8,-3.5,3.0,22.4,1323.2,9.0,13.0,4.1
2019,15.2,20.1,10.2,40.7,-2.3,7.2,21.3,1266.6,6.0,18.0,4.7
2020,15.9,20.7,10.9,41.5,0.1,7.1,21.7,1114.1,3.0,21.0,4.6
2021,15.0,19.6,10.3,38.8,-1.6,4.3,20.7,1282.5,10.0,10.0,4.3
2022,16.3,21.3,11.3,41.2,-2.2,7.3,22.6,849.8,3.0,35.0,4.9
