año,tm_mes,tm_max,tm_min,ta_max,ta_min,ti_max,ts_min,p_mes,np_300,nt_30,inso
1970,13.1,16.1,10.1,34.6,-2.0,1.8,21.6,1441.5,9.0,5.0,4.4
1971,12.9,16.0,9.8,32.2,-5.5,1.0,23.0,1594.0,4.0,4.0,4.4
1972,12.3,15.4,9.2,32.2,-1.3,5.0,19.0,1366.8,6.0,2.0,4.4
1973,12.8,16.0,9.6,33.0,-6.7,2.0,22.0,1532.1,8.0,5.0,4.5
1974,12.5,15.7,9.3,36.4,0.0,5.3,21.8,1840.2,8.0,4.0,4.0
1975,12.7,15.7,9.8,38.0,-1.0,3.0,20.6,1363.6,7.0,5.0,4.3
1976,12.9,16.0,9.8,33.4,-2.2,1.6,21.2,1566.9,9.0,2.0,4.8
1977,12.8,15.8,9.7,31.0,-1.8,2.2,18.4,1678.3,11.0,1.0,4.1
1978,12.5,15.4,9.5,30.6,-1.0,2.6,20.4,1629.8,12.0,1.0,4.1
1979,12.7,15.6,9.7,30.0,-2.8,2.8,19.6,2206.3,17.0,1.0,0.0
1980,12.4,15.6,9.2,33.0,-4.6,-0.8,19.6,1718.7,12.0,4.0,3.8
1981,13.0,16.2,9.8,35.0,-1.8,1.2,21.0,1802.5,7.0,5.0,4.3
1982,13.5,16.4,10.5,37.6,0.4,5.6,21.8,1652.3,10.0,6.0,0.0
1983,13.6,16.7,10.6,31.4,-5.0,-0.2,25.2,1365.0,8.0,8.0,3.5
1984,12.5,15.4,9.6,33.2,-1.6,3.6,19.4,1764.8,11.0,6.0,3.8
1985,12.7,15.9,9.6,34.0,-10.0,-3.5,19.6,1352.8,7.0,6.0,3.9
1986,12.5,15.4,9.6,34.0,-5.8,0.0,20.0,1732.6,9.0,4.0,4.4
1987,13.3,16.3,10.3,35.0,-3.8,0.0,23.0,1409.6,8.0,8.0,4.6
1988,13.4,16.4,10.5,34.0,-3.4,2.6,23.6,1350.8,3.0,2.0,4.9
1989,14.6,17.6,11.6,35.4,-1.4,2.8,20.2,1088.7,6.0,3.0,6.1
1990,14.0,17.0,10.9,32.6,-1.4,1.8,21.6,1594.0,11.0,4.0,5.5
1991,12.9,15.7,10.0,35.8,-1.4,3.4,20.8,1358.1,7.0,4.0,4.8
1992,13.0,15.9,10.1,33.4,-3.0,3.0,21.6,1668.7,11.0,6.0,4.3
1993,13.2,16.0,10.3,34.2,-2.4,2.4,23.4,1364.1,10.0,4.0,4.9
1994,13.8,16.5,10.9,33.6,-2.6,3.2,20.2,1748.5,14.0,3.0,4.6
1995,14.0,16.9,11.0,36.2,-2.0,1.2,20.6,1311.6,6.0,3.0,5.4
1996,13.3,16.0,10.5,35.0,-3.2,2.0,20.4,1602.7,10.0,4.0,5.3
1997,14.6,17.6,11.6,30.6,-0.4,2.0,21.4,1733.5,14.0,2.0,5.4
1998,13.7,16.7,10.7,35.2,-1.8,4.6,21.2,1537.3,8.0,7.0,5.2
1999,13.6,16.5,10.7,32.0,-2.2,1.8,20.6,1428.3,6.0,3.0,4.7
2000,13.8,16.8,10.8,33.4,-1.6,3.0,20.4,1582.5,5.0,8.0,4.9
2001,13.7,16.7,10.8,31.2,-5.6,1.5,22.0,1058.2,2.0,5.0,5.1
2002,14.0,16.8,11.1,31.2,1.8,5.9,20.8,1676.9,13.0,2.0,4.8
2003,14.5,17.5,11.5,38.6,-4.0,1.7,23.0,1348.9,7.0,12.0,5.1
2004,13.6,16.4,10.7,34.2,-0.8,2.8,23.2,1431.9,6.0,7.0,5.1
2005,13.4,16.4,10.4,35.0,-4.7,0.6,20.4,1363.2,7.0,10.0,5.6
2006,14.4,17.4,11.4,36.0,-1.6,2.4,22.0,1248.9,11.0,7.0,5.2
2007,13.3,16.2,10.5,34.6,-3.2,0.6,23.9,1536.1,7.0,5.0,4.8
2008,13.4,16.4,10.4,32.8,0.4,4.7,19.1,1909.5,14.0,4.0,5.0
2009,13.5,16.5,10.6,35.6,-2.6,0.6,22.6,1700.9,10.0,5.0,5.0
2010,13.0,15.9,10.0,33.6,-3.7,0.5,21.4,1477.8,8.0,4.0,5.0
2011,14.5,17.4,11.6,37.2,-1.6,2.0,20.8,1400.9,10.0,7.0,5.3
2012,13.5,16.7,10.3,36.7,-5.3,0.2,20.6,1602.8,9.0,12.0,5.3
2013,13.3,16.2,10.4,36.4,-3.0,2.3,21.8,2145.1,9.0,3.0,4.9
2014,14.4,17.4,11.4,33.4,-0.8,3.0,19.0,1725.3,8.0,2.0,5.1
2015,14.1,17.2,11.0,35.4,-2.0,0.9,19.8,1437.1,9.0,11.0,5.0
2016,14.1,17.1,11.0,36.7,0.3,6.0,22.2,1586.1,9.0,9.0,5.2
2017,14.0,17.2,10.7,36.2,-2.9,-0.4,22.5,1568.5,6.0,11.0,5.2
2018,14.1,16.9,11.2,32.0,-5.1,0.1,20.5,1757.6,14.0,2.0,4.8
2019,14.1,17.3,10.9,39.0,0.5,5.0,20.6,1900.1,12.0,7.0,5.4
2020,14.8,17.9,11.6,39.0,0.0,4.5,22.0,1780.2,14.0,9.0,5.2
2021,13.8,16.7,10.8,32.5,0.0,2.5,21.5,1676.6,14.0,3.0,4.9
2022,15.1,18.3,11.9,39.7,0.4,4.0,24.3,1338.2,9.0,15.0,5.3
