año,mes,tm_mes,tm_max,tm_min,ta_max,ta_min,ti_max,ts_min,p_mes,np_300,nt_30,inso
1970,13,11.2,16.2,6.2,35.8,-12.4,-2.2,18.8,783.1,4.0,18.0,5.6
1971,13,10.8,15.7,5.8,34.6,-20.8,-5.4,17.6,1023.9,5.0,22.0,5.1
1972,13,10.3,14.8,5.8,32.4,-5.0,2.6,17.0,1062.9,2.0,4.0,
1973,13,10.8,15.6,6.0,35.8,-6.8,0.0,19.4,875.9,5.0,19.0,5.2
1974,13,10.9,15.5,6.2,36.4,-5.6,2.8,18.0,970.5,4.0,16.0,4.7
1975,13,11.2,15.9,6.5,36.4,-6.2,1.0,18.4,1096.8,6.0,19.0,5.0
1976,13,11.0,16.1,5.9,34.2,-5.8,-0.2,18.0,938.9,3.0,16.0,5.3
1977,13,11.2,16.0,6.4,31.6,-7.0,1.8,15.2,920.9,2.0,3.0,
1978,13,11.2,16.0,6.3,36.4,-13.2,0.2,18.8,1045.2,7.0,13.0,4.9
1979,13,,,,,,,,,,,
1980,13,,,,,,,,,,,
1981,13,11.4,16.6,6.2,37.4,-4.6,0.4,18.6,755.9,3.0,13.0,4.8
1982,13,11.6,16.4,6.7,38.4,-3.2,1.8,17.0,911.2,3.0,13.0,3.9
1983,13,11.5,16.4,6.4,36.8,-15.4,-2.6,18.6,882.3,6.0,12.0,4.5
1984,13,10.4,15.4,5.5,35.2,-5.8,1.6,16.2,968.0,1.0,20.0,4.3
1985,13,10.9,16.4,5.4,35.6,-17.8,-4.6,16.8,682.5,3.0,22.0,4.6
1986,13,11.0,16.2,5.8,35.6,-6.8,0.8,18.8,718.9,1.0,16.0,4.8
1987,13,11.4,16.8,6.0,38.6,-7.8,-1.8,17.2,779.9,2.0,28.0,4.3
1988,13,11.3,16.6,5.9,37.2,-9.4,-0.5,17.8,786.4,3.0,17.0,4.8
1989,13,12.3,18.1,6.4,38.0,-8.4,-2.0,20.0,569.4,5.0,16.0,5.7
1990,13,12.0,17.9,6.1,37.1,-7.6,1.6,18.0,611.7,0.0,30.0,5.5
1991,13,11.2,16.4,5.9,36.7,-8.0,1.9,18.2,838.3,3.0,25.0,5.0
1992,13,11.2,16.4,6.0,35.7,-6.5,0.5,18.2,974.2,7.0,22.0,4.7
1993,13,11.1,16.3,5.8,34.8,-8.7,0.6,16.6,810.7,3.0,17.0,5.2
1994,13,12.4,17.6,7.1,36.2,-7.4,-0.2,19.8,626.5,2.0,24.0,5.3
1995,13,12.4,18.0,6.7,37.2,-5.5,1.6,19.2,607.2,1.0,18.0,5.7
1996,13,11.5,16.8,6.2,36.0,-6.8,0.0,17.8,850.3,2.0,19.0,5.3
1997,13,12.8,18.5,7.1,34.6,-4.4,0.2,19.8,818.3,3.0,11.0,5.6
1998,13,11.7,17.2,6.2,38.7,-7.6,3.2,17.6,707.5,1.0,22.0,5.5
1999,13,11.9,17.0,6.7,35.5,-4.0,1.6,17.5,742.5,1.0,15.0,5.3
2000,13,11.9,17.8,6.0,35.6,-7.0,3.2,18.7,651.6,1.0,25.0,5.4
2001,13,11.8,17.4,6.1,37.4,-11.5,-0.1,18.2,605.1,2.0,25.0,5.5
2002,13,12.0,17.5,6.5,34.8,-3.0,4.5,17.4,682.3,1.0,15.0,5.1
2003,13,12.8,18.3,7.2,38.0,-6.2,0.8,23.2,709.9,3.0,41.0,5.4
2004,13,11.7,16.9,6.6,35.4,-9.2,1.1,19.2,820.0,2.0,19.0,5.1
2005,13,11.4,17.1,5.6,36.2,-9.0,-1.5,17.8,776.1,4.0,29.0,5.9
2006,13,12.6,18.1,7.0,36.5,-9.5,0.7,19.0,529.5,1.0,26.0,5.5
2007,13,11.4,16.9,5.9,36.3,-9.5,0.0,17.3,704.1,4.0,16.0,5.3
2008,13,11.5,16.9,6.0,33.5,-5.4,2.0,17.5,885.8,1.0,16.0,5.2
2009,13,12.2,17.8,6.6,37.0,-8.5,-0.2,18.8,729.1,4.0,31.0,5.5
2010,13,11.0,16.6,5.5,36.5,-12.4,-0.5,17.0,648.5,0.0,21.0,5.1
2011,13,12.6,18.6,6.5,37.2,-5.6,3.0,17.2,503.6,0.0,25.0,5.4
2012,13,11.8,18.0,5.6,40.8,-7.5,-0.6,19.3,532.5,0.0,36.0,5.5
2013,13,11.7,16.9,6.5,36.8,-4.3,1.3,20.5,1116.6,4.0,26.0,5.1
2014,13,12.8,18.5,7.1,35.8,-5.8,3.4,17.8,919.8,4.0,19.0,5.5
2015,13,12.4,18.0,6.7,37.2,-7.0,0.3,19.6,787.5,3.0,37.0,5.5
2016,13,12.1,17.8,6.3,38.0,-5.4,4.5,18.4,745.5,3.0,34.0,5.1
2017,13,12.5,18.9,6.0,35.8,-8.5,-0.5,18.3,642.2,1.0,34.0,5.9
2018,13,12.4,18.0,6.9,35.8,-7.6,2.7,19.4,821.4,1.0,21.0,5.3
2019,13,12.5,18.6,6.3,39.7,-7.7,1.4,19.0,911.6,5.0,34.0,5.9
2020,13,12.8,18.8,6.8,38.0,-3.9,2.8,18.4,776.3,1.0,29.0,5.7
2021,13,12.1,17.7,6.5,37.1,-6.9,-1.3,19.8,827.6,5.0,20.0,5.2
2022,13,13.5,19.8,7.1,40.2,-5.8,4.8,20.2,405.9,1.0,45.0,5.8
