año,mes,tm_mes,tm_max,tm_min,ta_max,ta_min,ti_max,ts_min,p_mes,np_300,nt_30,inso
1970,1,6.6,9.8,3.5,14.6,-6.4,2.6,8.4,127.2,0.0,0.0,2.4
1970,2,4.9,8.6,1.2,13.8,-7.0,0.6,7.2,136.4,1.0,0.0,3.8
1970,3,5.2,9.0,1.4,20.0,-4.0,1.6,9.2,55.2,0.0,0.0,3.8
1970,4,8.4,13.5,3.3,28.4,-2.6,5.6,9.2,37.4,0.0,0.0,5.9
1970,5,12.3,17.5,7.0,30.2,0.4,10.0,11.6,93.9,2.0,1.0,6.9
1970,6,17.5,23.2,11.7,29.4,6.2,17.6,16.8,52.1,0.0,0.0,7.6
1970,7,18.8,24.9,12.7,35.8,6.2,15.8,18.8,3.9,0.0,6.0,8.4
1970,8,19.6,25.4,13.7,33.2,6.0,17.2,18.6,63.0,0.0,6.0,7.6
1970,9,18.0,25.5,10.5,34.6,5.0,14.6,15.6,39.0,1.0,5.0,8.2
1970,10,10.8,17.0,4.7,26.0,-2.8,6.6,14.8,54.0,0.0,0.0,6.1
1970,11,10.5,14.7,6.4,21.6,1.2,8.4,13.0,50.9,0.0,0.0,4.0
1970,12,2.0,5.3,-1.3,14.4,-12.4,-2.2,8.6,70.1,0.0,0.0,2.6
1971,1,3.1,7.3,-1.0,14.8,-20.8,-5.4,9.0,65.4,0.0,0.0,3.8
1971,2,4.8,9.9,-0.3,16.0,-6.4,3.0,6.6,52.9,0.0,0.0,4.9
1971,3,3.9,7.8,0.0,14.8,-7.4,0.4,6.4,116.6,1.0,0.0,4.4
1971,4,10.9,15.7,6.1,22.6,0.2,8.0,12.0,90.5,0.0,0.0,4.4
1971,5,12.2,16.3,8.1,23.4,0.2,9.2,12.6,151.4,1.0,0.0,4.1
1971,6,14.6,19.2,9.9,25.6,5.2,14.4,13.8,83.7,0.0,0.0,6.4
1971,7,19.9,26.3,13.4,34.6,8.2,17.2,16.4,58.7,0.0,10.0,8.1
1971,8,18.7,25.6,11.9,34.6,5.8,16.8,17.6,26.1,0.0,6.0,7.8
1971,9,16.4,23.1,9.6,32.2,0.2,15.6,16.8,15.7,0.0,6.0,6.6
1971,10,14.4,20.6,8.3,27.6,3.2,13.8,13.6,52.7,0.0,0.0,6.1
1971,11,5.6,9.1,2.2,19.4,-0.8,1.0,7.0,235.6,3.0,0.0,1.7
1971,12,4.8,7.9,1.7,14.0,-5.2,0.2,6.0,74.6,0.0,0.0,2.7
